year,donor_type,total_oda
2002,MDB,382.68546
2002,Vertical Fund,142.010432
2003,MDB,442.095939
2003,Vertical Fund,165.408272
2004,MDB,493.767961
2004,Vertical Fund,217.250138
2005,MDB,423.31438
2005,Vertical Fund,223.778951
2006,Bilateral (DAC),5620.792913
2006,MDB,234.794928
2006,UN Agency,27.826347999999996
2006,Vertical Fund,207.663696
2007,Bilateral (DAC),5284.487041
2007,MDB,153.544594
2007,UN Agency,46.125493999999996
2007,Vertical Fund,222.350239
2008,Bilateral (DAC),6218.340171
2008,MDB,142.171392
2008,UN Agency,33.67076599999999
2008,Vertical Fund,274.484386
2009,Bilateral (DAC),6896.205891
2009,MDB,221.995783
2009,UN Agency,39.40374799999999
2009,Vertical Fund,299.737182
2010,Bilateral (DAC),8849.815749
2010,Bilateral (Non-DAC),9.269515
2010,MDB,1278.530627
2010,UN Agency,115.148693
2010,Vertical Fund,405.966502
2011,Bilateral (DAC),7798.7973759999995
2011,Bilateral (Non-DAC),11.606469
2011,MDB,1343.84437
2011,UN Agency,101.43780899999999
2011,Vertical Fund,371.995116
2012,Bilateral (DAC),6765.0416669999995
2012,Bilateral (Non-DAC),14.079428
2012,MDB,1251.961069
2012,UN Agency,103.78211499999999
2012,Vertical Fund,340.245152
2013,Bilateral (DAC),6209.369586
2013,Bilateral (Non-DAC),13.645285
2013,MDB,1598.39401
2013,UN Agency,118.230707
2013,Vertical Fund,419.011567
2014,Bilateral (DAC),6558.204162
2014,Bilateral (Non-DAC),12.618042
2014,MDB,1405.035478
2014,UN Agency,118.77766499999998
2014,Vertical Fund,397.830521
2015,Bilateral (DAC),6798.775671
2015,Bilateral (Non-DAC),21.17775
2015,MDB,1620.879019
2015,UN Agency,116.19421399999999
2015,Vertical Fund,433.526792
2016,Bilateral (DAC),9198.188966
2016,Bilateral (Non-DAC),59.73951
2016,MDB,1153.956418
2016,UN Agency,110.13821599999999
2016,Vertical Fund,437.692435
2017,Bilateral (DAC),6587.939015
2017,Bilateral (Non-DAC),92.91201600000001
2017,MDB,1678.840488
2017,UN Agency,133.07929499999997
2017,Vertical Fund,432.935385
2018,Bilateral (DAC),7166.614482999999
2018,Bilateral (Non-DAC),184.81483799999998
2018,MDB,1464.978785
2018,UN Agency,134.70748999999998
2018,Vertical Fund,421.349969
2019,Bilateral (DAC),6607.529486
2019,Bilateral (Non-DAC),59.727761
2019,MDB,1185.872756
2019,UN Agency,203.413019
2019,Vertical Fund,342.082215
2020,Bilateral (DAC),7745.677699000001
2020,Bilateral (Non-DAC),112.538112
2020,MDB,1944.510163
2020,UN Agency,181.482084
2020,Vertical Fund,683.979446
2021,Bilateral (DAC),8162.153303
2021,Bilateral (Non-DAC),96.21693599999999
2021,MDB,1800.874484
2021,Other,0.231477
2021,UN Agency,210.145207
2021,Vertical Fund,575.75762
2022,Bilateral (DAC),8455.021378
2022,Bilateral (Non-DAC),105.738404
2022,MDB,3398.631094
2022,Other,0.1609519999999998
2022,UN Agency,212.977513
2022,Vertical Fund,624.330638
2023,Bilateral (DAC),7399.873254
2023,Bilateral (Non-DAC),139.29019
2023,MDB,2309.313883
2023,Other,0.100824
2023,UN Agency,206.407592
2023,Vertical Fund,858.894622
2024,Bilateral (DAC),8125.963492
2024,Bilateral (Non-DAC),108.330925
2024,MDB,1612.211331
2024,Other,0.1470579999999997
2024,UN Agency,195.85576799999998
2024,Vertical Fund,532.579982
